Key,Modifier,KMN_Unicode,XKB_Unicode,KMN_Char,XKB_Char,Status
AD06,Shift,U06D3,U06D3,ۓ,ۓ,Match
AD06,AltGr,U0601,U0601,؁,؁,Match
AD06,Shift+AltGr,U06E6,U06E6,ۦ,ۦ,Match
AD07,Base,U0626,U0626,ئ,ئ,Match
AD07,Shift,U0621,U0621,ء,ء,Match
AD07,AltGr,U0654,U0654,ٔ,ٔ,Match
AD07,Shift+AltGr,U0655,U0655,ٕ,ٕ,Match
AD08,Base,U06CC,U06CC,ی,ی,Match
AD08,Shift,U0670,U0670,ٰ,ٰ,Match
AD08,AltGr,U064A,U064A,ي,ي,Match
AD08,Shift+AltGr,U0649,U0649,ى,ى,Match
AD09,Base,U06C1,U06C1,ہ,ہ,Match
AD09,Shift,U06C3,U06C3,ۃ,ۃ,Match
AD09,AltGr,U0647,U0647,ه,ه,Match
AD09,Shift+AltGr,U0629,U0629,ة,ة,Match
AD10,Base,U067E,U067E,پ,پ,Match
AD10,Shift,U064F,U064F,ُ,ُ,Match
AD10,AltGr,None,None,,,Match
AD10,Shift+AltGr,U06D7,U06D7,ۗ,ۗ,Match
AD11,Base,U064C,U064C,ٌ,ٌ,Match
AD11,Shift,U0657,U0657,ٗ,ٗ,Match
AD11,AltGr,U06E9,U06E9,۩,۩,Match
AD11,Shift+AltGr,U06D6,U06D6,ۖ,ۖ,Match
AD12,Base,U0652,U0652,ْ,ْ,Match
AD12,Shift,U0651,U0651,ّ,ّ,Match
AD12,AltGr,U0658,U0658,٘,٘,Match
AD12,Shift+AltGr,None,None,,,Match
AE01,Base,U0031,U0031,1,1,Match
AE01,Shift,U0021,U0021,!,!,Match
AE01,AltGr,U06F1,U06F1,۱,۱,Match
AE01,Shift+AltGr,U0671,U0671,ٱ,ٱ,Match
AE02,Base,U0032,U0032,2,2,Match
AE02,Shift,U0040,U0040,@,@,Match
AE02,AltGr,U06F2,U06F2,۲,۲,Match
AE02,Shift+AltGr,None,None,,,Match
AE03,Base,U0033,U0033,3,3,Match
AE03,Shift,U0023,U0023,#,#,Match
AE03,AltGr,U06F3,U06F3,۳,۳,Match
AE03,Shift+AltGr,None,None,,,Match
AE04,Base,U0034,U0034,4,4,Match
AE04,Shift,U0024,U0024,$,$,Match
AE04,AltGr,U06F4,U06F4,۴,۴,Match
AE04,Shift+AltGr,None,None,,,Match
AE05,Base,U0035,U0035,5,5,Match
AE05,Shift,U066A,U066A,٪,٪,Match
AE05,AltGr,U06F5,U06F5,۵,۵,Match
AE05,Shift+AltGr,U06EC,U06EC,۬,۬,Match
AE06,Base,U0036,U0036,6,6,Match
AE06,Shift,U06C2,U06C2,ۂ,ۂ,Match
AE06,AltGr,U06F6,U06F6,۶,۶,Match
AE06,Shift+AltGr,U06EE,U06EE,ۮ,ۮ,Match
AE07,Base,U0037,U0037,7,7,Match
AE07,Shift,U0026,U0026,&,&,Match
AE07,AltGr,U06F7,U06F7,۷,۷,Match
AE07,Shift+AltGr,U06E7,U06E7,ۧ,ۧ,Match
AE08,Base,U0038,U0038,8,8,Match
AE08,Shift,U066D,U066D,٭,٭,Match
AE08,AltGr,U06F8,U06F8,۸,۸,Match
AE08,Shift+AltGr,U06DE,U06DE,۞,۞,Match
AE09,Base,U0039,U0039,9,9,Match
AE09,Shift,U0029,U0029,),),Match
AE09,AltGr,U06F9,U06F9,۹,۹,Match
AE09,Shift+AltGr,UFD3E,UFD3E,﴾,﴾,Match
AE10,Base,U0030,U0030,0,0,Match
AE10,Shift,U0028,U0028,(,(,Match
AE10,AltGr,U06F0,U06F0,۰,۰,Match
AE10,Shift+AltGr,UFD3F,UFD3F,﴿,﴿,Match
AE11,Base,U002D,U002D,-,-,Match
AE11,Shift,U0640,U0640,ـ,ـ,Match
AE11,AltGr,U0600,U0600,؀,؀,Match
AE11,Shift+AltGr,None,None,,,Match
AE12,Base,U0653,U0653,ٓ,ٓ,Match
AE12,Shift,U06E4,U06E4,ۤ,ۤ,Match
AE12,AltGr,U0602,U0602,؂,؂,Match
AE12,Shift+AltGr,None,None,,,Match
BKSL,Base,U060E,U060E,؎,؎,Match
BKSL,Shift,U0614,U0614,ؔ,ؔ,Match
BKSL,AltGr,U060F,U060F,؏,؏,Match
BKSL,Shift+AltGr,U0603,U0603,؃,؃,Match
SPCE,Base,U0020,U0020, , ,Match
SPCE,Shift,None,None,,,Match
SPCE,AltGr,None,None,,,Match
SPCE,Shift+AltGr,None,None,,,Match
TLDE,Base,U064D,U064D,ٍ,ٍ,Match
TLDE,Shift,U064B,U064B,ً,ً,Match
TLDE,AltGr,U06E4,U06E4,ۤ,ۤ,Match
TLDE,Shift+AltGr,U002E,U002E,.,.,Match
